Unnamed: 0,count,company,tod,used,old_date,date
14,474,wheels,  1:15:17,-1,1/11/2020 13:15,1/11/2020 13:15
14,2301,birdla,  1:15:22,-15,1/11/2020 13:15,1/11/2020 13:15
14,520,birdsm,  1:15:23,1,1/11/2020 13:15,1/11/2020 13:15
14,5228,lime,  1:15:20,11,1/11/2020 13:15,1/11/2020 13:15
14,165,spin,  1:15:23,12,1/11/2020 13:15,1/11/2020 13:15
15,487,wheels,  1:29:15,13,1/11/2020 13:29,1/11/2020 13:30
15,2294,birdla,  1:29:19,-7,1/11/2020 13:30,1/11/2020 13:30
15,523,birdsm,  1:29:20,3,1/11/2020 13:30,1/11/2020 13:30
15,5225,lime,  1:29:17,-3,1/11/2020 13:30,1/11/2020 13:30
15,165,spin,  1:29:20,0,1/11/2020 13:30,1/11/2020 13:30
16,499,wheels,  1:44:11,12,1/11/2020 13:44,1/11/2020 13:45
16,2299,birdla,  1:44:16,5,1/11/2020 13:45,1/11/2020 13:45
16,526,birdsm,  1:44:17,3,1/11/2020 13:45,1/11/2020 13:45
16,5247,lime,  1:44:15,22,1/11/2020 13:45,1/11/2020 13:45
16,180,spin,  1:44:17,15,1/11/2020 13:45,1/11/2020 13:45
17,506,wheels,  1:59:08,7,1/11/2020 13:59,1/11/2020 14:00
17,2307,birdla,  1:59:13,8,1/11/2020 14:00,1/11/2020 14:00
17,530,birdsm,  1:59:15,4,1/11/2020 14:00,1/11/2020 14:00
17,5269,lime,  1:59:11,22,1/11/2020 14:00,1/11/2020 14:00
17,196,spin,  1:59:15,16,1/11/2020 14:00,1/11/2020 14:00
18,508,wheels,  2:15:05,2,1/11/2020 14:15,1/11/2020 14:15
18,2301,birdla,  2:15:12,-6,1/11/2020 14:15,1/11/2020 14:15
18,538,birdsm,  2:15:13,8,1/11/2020 14:15,1/11/2020 14:15
18,5286,lime,  2:15:09,17,1/11/2020 14:15,1/11/2020 14:15
18,213,spin,  2:15:13,17,1/11/2020 14:15,1/11/2020 14:15
19,510,wheels,  2:29:04,2,1/11/2020 14:29,1/11/2020 14:30
19,2299,birdla,  2:29:09,-2,1/11/2020 14:30,1/11/2020 14:30
19,548,birdsm,  2:29:10,10,1/11/2020 14:30,1/11/2020 14:30
19,5291,lime,  2:29:07,5,1/11/2020 14:30,1/11/2020 14:30
19,215,spin,  2:29:10,2,1/11/2020 14:30,1/11/2020 14:30
20,510,wheels,  2:44:01,0,1/11/2020 14:44,1/11/2020 14:45
20,2294,birdla,  2:44:06,-5,1/11/2020 14:45,1/11/2020 14:45
20,541,birdsm,  2:44:07,-7,1/11/2020 14:45,1/11/2020 14:45
20,5315,lime,  2:44:04,24,1/11/2020 14:45,1/11/2020 14:45
20,215,spin,  2:44:07,0,1/11/2020 14:45,1/11/2020 14:45
21,509,wheels,  2:58:58,-1,1/11/2020 14:58,1/11/2020 15:00
21,2295,birdla,  2:59:03,1,1/11/2020 15:00,1/11/2020 15:00
21,550,birdsm,  2:59:04,9,1/11/2020 15:00,1/11/2020 15:00
21,5333,lime,  2:59:01,18,1/11/2020 15:00,1/11/2020 15:00
21,217,spin,  2:59:04,2,1/11/2020 15:00,1/11/2020 15:00
22,507,wheels,  3:13:55,-2,1/11/2020 15:13,1/11/2020 15:15
22,2287,birdla,  3:15:01,-8,1/11/2020 15:15,1/11/2020 15:15
22,551,birdsm,  3:15:01,1,1/11/2020 15:15,1/11/2020 15:15
22,5328,lime,  3:13:58,-5,1/11/2020 15:15,1/11/2020 15:15
22,217,spin,  3:15:01,0,1/11/2020 15:15,1/11/2020 15:15
23,518,wheels,  3:28:52,11,1/11/2020 15:28,1/11/2020 15:30
23,2291,birdla,  3:28:57,4,1/11/2020 15:30,1/11/2020 15:30
23,550,birdsm,  3:29:58,-1,1/11/2020 15:30,1/11/2020 15:30
23,5333,lime,  3:28:55,5,1/11/2020 15:30,1/11/2020 15:30
23,216,spin,  3:28:58,-1,1/11/2020 15:30,1/11/2020 15:30
24,526,wheels,  3:43:49,8,1/11/2020 15:43,1/11/2020 15:45
24,2278,birdla,  3:44:54,-13,1/11/2020 15:45,1/11/2020 15:45
24,552,birdsm,  3:44:54,2,1/11/2020 15:45,1/11/2020 15:45
24,5330,lime,  3:43:52,-3,1/11/2020 15:45,1/11/2020 15:45
24,216,spin,  3:44:55,0,1/11/2020 15:45,1/11/2020 15:45
114,2226,birdla,  3:58:33,28,1/11/2020 16:00,1/11/2020 16:00
114,537,birdsm,  4:00:00,-15,1/11/2020 16:00,1/11/2020 16:00
114,5132,lime,  3:58:31,7,1/11/2020 16:00,1/11/2020 16:00
114,230,spin,  3:59:34,14,1/11/2020 16:00,1/11/2020 16:00
115,2218,birdla,  4:13:32,-8,1/11/2020 16:15,1/11/2020 16:15
115,542,birdsm,  4:15:00,5,1/11/2020 16:15,1/11/2020 16:15
115,5127,lime,  4:13:29,-5,1/11/2020 16:15,1/11/2020 16:15
115,246,spin,  4:15:32,16,1/11/2020 16:15,1/11/2020 16:15
